site.name,site.id,dataset.id,age,tave_mat,tave_wa,tave_wapls,tave,lat,long
Lac ‡ Magie,1534,1572,11500,1.811714286,1.717575879,3.430628867,2.319973011,44.263889,-66.079167
Lac ‡ Magie,1534,1572,12500,1.993333333,2.270891703,4.516856742,2.92702726,44.263889,-66.079167
Lac ‡ Magie,1534,1572,13500,2.566333333,1.92228884,2.931886786,2.473502987,44.263889,-66.079167
Lake Annie,1597,1648,500,21.722,25.99730917,21.82055656,23.17995524,27.2,-81.416667
Lake Annie,1597,1648,1500,21.97971429,25.14439003,21.16364712,22.76258381,27.2,-81.416667
Lake Annie,1597,1648,2500,21.91577778,24.54754379,20.74650363,22.40327506,27.2,-81.416667
Lake Annie,1597,1648,3500,21.90325,23.67338135,20.24835614,21.9416625,27.2,-81.416667
Lake Annie,1597,1648,4500,21.736,23.05119015,19.64937895,21.47885637,27.2,-81.416667
Lake Annie,1597,1648,5500,22.0628,22.62312067,19.25485831,21.31359299,27.2,-81.416667
Lake Annie,1597,1648,6500,21.476,20.47881414,17.81823047,19.9243482,27.2,-81.416667
Lake Annie,1597,1648,8500,18.207,15.85000872,13.45474772,15.83725214,27.2,-81.416667
Lake Annie,1597,1648,9500,18.998,16.73265215,14.14753716,16.6260631,27.2,-81.416667
Lake Annie,1597,1648,11500,16.514,12.14551509,10.98992873,13.21648128,27.2,-81.416667
Lake Annie,1597,1648,12500,17.901,15.28225821,14.02994233,15.73773351,27.2,-81.416667
Lake Annie,1597,1648,13500,19.575,17.97929674,16.54954657,18.03461444,27.2,-81.416667
Lake Annie,1597,1648,14500,19.775,21.15225952,18.71032312,19.87919421,27.2,-81.416667
Lake Annie,1597,1648,15500,19.241,18.96150167,17.0663743,18.42295866,27.2,-81.416667
Lake Annie,1597,1648,17500,18.392,13.92618385,12.6587053,14.99229638,27.2,-81.416667
Lake Annie,1597,1648,19500,15.982,12.75445288,11.74834619,13.49493302,27.2,-81.416667
Rostock Mammoth Site,2215,2293,12500,-4.479142857,-2.399829459,-2.533126518,-3.137366278,43.5,-81
Rostock Mammoth Site,2215,2293,13500,-2.333333333,-4.349861763,-6.487007878,-4.390067658,43.5,-81
Rostock Mammoth Site,2215,2293,14500,-5.449555556,-4.300995683,-6.143490014,-5.298013751,43.5,-81
Rostock Mammoth Site,2215,2293,15500,0.485142857,-0.65796814,-0.19400076,-0.122275348,43.5,-81
Sutherland Pond,2527,2617,500,9.441272727,9.497728698,10.29420968,9.744403701,41.391389,-74.037778
Sutherland Pond,2527,2617,1500,9.5764,10.26289976,11.05332234,10.2975407,41.391389,-74.037778
Sutherland Pond,2527,2617,2500,9.406,9.900553068,10.72098921,10.00918076,41.391389,-74.037778
Sutherland Pond,2527,2617,3500,9.289076923,9.602531055,10.52054057,9.804049516,41.391389,-74.037778
Sutherland Pond,2527,2617,4500,9.518875,11.19345669,11.8766238,10.86298517,41.391389,-74.037778
Sutherland Pond,2527,2617,5500,9.206705882,11.13647588,11.69789535,10.68035904,41.391389,-74.037778
Sutherland Pond,2527,2617,6500,9.734571429,11.67540384,12.38607989,11.26535172,41.391389,-74.037778
Sutherland Pond,2527,2617,7500,9.131,11.32548653,11.86602329,10.77416994,41.391389,-74.037778
Sutherland Pond,2527,2617,8500,8.343111111,11.20797157,11.71614429,10.42240899,41.391389,-74.037778
Sutherland Pond,2527,2617,9500,8.00725,10.38855188,10.92930379,9.775035222,41.391389,-74.037778
Sutherland Pond,2527,2617,10500,6.300888889,7.764828885,8.874701572,7.646806448,41.391389,-74.037778
Sutherland Pond,2527,2617,11500,4.966285714,4.148958359,5.809530156,4.974924743,41.391389,-74.037778
Sutherland Pond,2527,2617,12500,2.527666667,0.694998441,2.092636517,1.771767208,41.391389,-74.037778
Sutherland Pond,2527,2617,13500,2.154571429,1.753878961,2.597195104,2.168548498,41.391389,-74.037778
Sutherland Pond,2527,2617,14500,-0.454571429,-1.803141791,-3.130153236,-1.795955485,41.391389,-74.037778
Sutherland Pond,2527,2617,15500,-6.786,-3.007728075,-4.749085026,-4.847604367,41.391389,-74.037778
Sutherland Pond,2527,2617,16500,-5.091714286,-2.200396417,-3.821026595,-3.704379099,41.391389,-74.037778
Basswood Road Lake/Splan Pond,2959,3775,10500,3.959,1.255388244,2.997002899,2.737130381,45.255556,-67.330556
