paleo_tave_deviance,paleo_pr_deviance,paleo_pr2_deviance,modern_tave_deviance,modern_pr_deviance,coef_paleo_tave,coef_paleo_pr,coef_paleo_pr2,coef_modern_tave,coef_modern_pr,AIC_fit_null,AIC_fit_50,AIC_fit_100,AIC_fit_200,AIC_fit_400,AIC_fit_600,AIC_fit_800,AIC_fit_1000,pseudo_r2_fit_null,pseudo_r2_fit_50,pseudo_r2_fit_100,pseudo_r2_fit_200,pseudo_r2_fit_400,pseudo_r2_fit_600,pseudo_r2_fit_800,pseudo_r2_fit_1000,moran_fit_null,moran_fit_50,moran_fit_100,moran_fit_200,moran_fit_400,moran_fit_600,moran_fit_800,moran_fit_1000,modern_tave_sig,modern_pr_sig,paleo_tave_sig,paleo_pr_sig,paleo_pr2_sig,climate_simulation,species
0.035935805,0.67316616,0.457167707,0.341597332,0.244109432,0.349885524,8.608557094,-13.76746733,-0.207919864,0.871951294,6181.553059,6163.20482,6222.947006,6429.474502,6937.740484,7275.418038,7448.022155,7514.205997,0.722799094,0.729104645,0.715644664,0.663748097,0.492034187,0.331856432,0.231374529,0.188954247,0.617953225,0.001413796,0.028392718,0.225792323,0.460668907,0.564989024,0.606096526,0.612993727,TRUE,FALSE,FALSE,TRUE,TRUE,CCSM-MARUM,mamm
1.086038641,0.080710428,0.011857047,0.721171481,0.455623556,1.6612437,11.02540041,-7.50207276,-0.273696708,1.220695243,6180.394306,6164.282014,6217.76727,6418.277,6918.90467,7257.187177,7424.97509,7499.650516,0.723059691,0.728867685,0.716837679,0.666790404,0.499741313,0.341670678,0.245619575,0.198479977,0.614725601,-5.57E-04,0.024805481,0.221632864,0.454625994,0.557904732,0.597187409,0.609967209,TRUE,TRUE,TRUE,FALSE,FALSE,CCSM-NCAR,mamm
0.107041336,0.091131543,0.029291702,0.455320305,0.391012403,0.854121284,4.696116472,-2.691288686,-0.240537537,1.187452782,6179.00869,6168.685625,6223.816751,6438.088624,6944.878722,7276.136942,7456.712213,7546.270211,0.723370988,0.727896827,0.71544385,0.661388791,0.489082478,0.331466439,0.225933772,0.167568767,0.632592631,-0.002204437,0.026875802,0.225377006,0.456367388,0.562363665,0.607738898,0.624642062,TRUE,TRUE,FALSE,FALSE,FALSE,CM2Mc,mamm
0.321431207,0.373727011,0.030509952,0.537804464,0.23197228,2.740100673,25.22848361,-11.34775985,-0.254247606,0.973709848,6186.739319,6151.829277,6218.98203,6427.871964,6879.984909,7148.062766,7282.276166,7344.373842,0.721629722,0.731594417,0.716558341,0.664185196,0.515297828,0.39747432,0.328126731,0.29339367,0.581279239,0.002838376,0.030485016,0.220323995,0.428437312,0.519623308,0.554532199,0.567052667,TRUE,FALSE,TRUE,TRUE,FALSE,COSMOS-S,mamm
1.352330888,0.480929707,0.070211129,0.817107723,0.308145014,3.830880384,14.65618977,-9.143302853,-0.291227168,1.056221746,6185.579618,6152.709266,6218.524816,6425.322918,6863.465638,7136.620017,7299.636143,7386.748545,0.721891633,0.731402632,0.716663511,0.664879289,0.521753579,0.403044638,0.318592423,0.268667112,0.594109201,0.002395202,0.029705095,0.220800961,0.425080307,0.519309014,0.565164173,0.585679919,TRUE,TRUE,TRUE,TRUE,FALSE,COSMOS-W,mamm
0.762477348,0.023878769,0.002780783,0.425145442,0.473102657,3.0116511,6.656016571,-4.341298914,-0.203929232,1.253586253,6179.738468,6164.803297,6222.646126,6433.021419,6912.508616,7226.818341,7406.893328,7494.979642,0.723207077,0.728752939,0.715714102,0.662778636,0.502331727,0.35770014,0.256610578,0.201513021,0.61911959,-6.91E-04,0.028435581,0.223495042,0.442125933,0.548131864,0.596376523,0.613209174,TRUE,TRUE,TRUE,FALSE,FALSE,HadCM3,mamm
1.387430744,0.787629012,0.024759386,0.137329463,0.392965764,7.027266843,7.749243944,-2.544441556,-0.169670677,1.137727128,6187.140751,6144.453598,6210.146337,6415.319483,6897.789724,7209.494765,7352.611298,7246.104476,0.721539003,0.733196494,0.718583864,0.667589341,0.50824207,0.366668538,0.288653296,0.347566253,0.590514764,0.005243386,0.03283155,0.221312445,0.449159316,0.548697165,0.582447028,0.561068936,FALSE,TRUE,TRUE,TRUE,FALSE,IPSL,mamm
0.225224413,0.82791846,0.05514395,0.814108924,0.582263117,0.932677246,12.90844018,-5.684129365,-0.269304899,1.380490434,6184.080148,6152.849566,6213.947656,6419.576537,6930.236293,7227.232018,7340.880722,7370.441149,0.722229913,0.731372043,0.717714218,0.666438742,0.495118835,0.357484434,0.295394292,0.278283631,0.578179998,9.39E-04,0.02747728,0.224827568,0.458561943,0.546837661,0.570044734,0.571272387,TRUE,TRUE,FALSE,TRUE,FALSE,MIROC-S,mamm
0.157823326,3.589986046,0.112392044,0.003091989,0.618463546,3.74634407,43.13233485,50.74038,-0.01587616,1.400616019,6193.026359,6138.721861,6206.789486,6401.939494,6857.705961,7140.885289,7282.633336,7185.337453,0.720205535,0.734434883,0.7193496,0.671179915,0.523984193,0.400974354,0.32793192,0.378966072,0.579249823,0.008592032,0.032836575,0.216290898,0.445774998,0.538259254,0.575481595,0.548950974,FALSE,TRUE,FALSE,TRUE,FALSE,MIROC-W,mamm
1.719546995,0.017579984,1.487487349,0.105713929,0.827833045,-2.464243754,-1.172617414,-7.052013531,0.124910637,1.700078948,6184.638222,6157.179336,6217.187208,6396.745233,6855.754593,7102.237927,7194.172988,7272.044089,0.72210406,0.730426309,0.716970969,0.672563342,0.524737559,0.419473877,0.374496194,0.333683703,0.545740949,0.004094331,0.027262164,0.213024781,0.431189789,0.509170438,0.526877205,0.537367576,FALSE,TRUE,TRUE,FALSE,TRUE,PROXY_KRIGING,mamm
